,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
1167,PB3(June-December 2016),Y020,Youth Education & Technology,Computers for Jefferson Park LC,"because the computers are not good, we need more computers.","Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",Magalie,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,"Computers,LC,Jefferson Park"
1168,PB3(June-December 2016),Y022,Youth Education & Technology,We need about 20 computers,"Jefferson Park- in this school we need more computers because they're too old, to practice tapes.","Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",Neudira,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,computers
1169,PB3(June-December 2016),Y023,Youth Education & Technology,Wireless speakers in our school,"Jefferson Park- We need wireless speakers for the class because too many wires in the class while we use the speaker, and the wires are too short. It's hard to use them.","Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",Shau Yu,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,"speakers,school"
1170,PB3(June-December 2016),Y024,Youth Education & Technology,"Smart board, data projector",Jefferson Park,"Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",anonymous,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,"board,data projector"
1171,PB3(June-December 2016),Y026,Youth Education & Technology,Printers and Copiers for Cambridge Youth Programs,Cambridge Youth Programs provide programming for youth throughout the city. Having copy machines/printers at each youth center will help provide higher quality programming for the youth that attend the programs. ,"A project to upgrade the furniture and equipment (including printers) at the Moore Youth Center made it to the ballot and won $80,000 in funding. Budget Delegates felt that the Moore Youth Center had the highest need of all five Centers.",Anonomous ,"Youth Centers
(42.362465, -71.113326)",42.362465,-71.113326,"Printers,Copiers,Youth Programs,Cambridge"
1172,PB3(June-December 2016),Y027,Youth Education & Technology,Cambridge School Volunteers learning center open in summer at CRLS,Students are taking summer courses and required to complete pre-course packets which can be quite extensive for AP courses. Allowing CSV to keep the tutoring center available in the summer a few days a week will provide help with both.,Not eligible: not a capital project. Extending learning center hours would require operating funds.,Sarah Block,"CRLS
(42.371887, -71.110305)",42.371887,-71.11030500000001,"learning center,Cambridge School Volunteers,CRLS"
1173,PB3(June-December 2016),Y028,Youth Education & Technology,Cambridgeport Youth Center,"Currently there are limited afterschool opportunities for 6/7/8 graders in the Cambridgeport neighborhood that offer consistent, structured programs and supervision for kids who might have working parents. There are youth centers at other locations in the city,  but nothing here. It would be nice to have something similar to the DHSP afterschool or community school programs for kids just starting out in the upper schools.",Budget Delegates did not rank this as a high priority project because the city already has five Youth Centers.,CT,"Cambridgeport
(42.355683, -71.11228)",42.355683,-71.11228,Cambridgeport Youth Center
1174,PB3(June-December 2016),Y029,Youth Education & Technology,Community School Registration System,"Providing the Community Schools After School and Summer Camp programs with a formal registration system will increase overall program safety, accountability and quality  to the many residents that participate  in community school programs across the city.",Not eligible: not a capital project.,Lucille  Hammer,"citywide/online
(42.355683, -71.11228)",42.355683,-71.11228,Community School Registration System
1175,PB3(June-December 2016),Y030,Youth Education & Technology,Computer Programming Course for Middle School Students,"Education is important to us all in Cambridge.  We want to get our students engaged in learning at an early age.  We should partner with our local colleges to develop a city wide programming course for middle school and high school students.  This would keep them engaged in learning and also provide real world skills.  I believe it would be especially helpful for at-risk students, but students could apply this learning in other classroom subjects or provide a basis for getting jobs or moving on to higher ed after high school.",Not eligible: not a capital project.,Eric White,"citywide
(42.375301, -71.11924)",42.375301,-71.11924,"Computer Programming Course,Middle School Students"
1176,PB3(June-December 2016),Y032,Youth Education & Technology,Lose the Lunch Line and Improve Literacy (app),"I'm in high school and for as long as I can remember, my friends and I have never had enough time to get and eat our lunch completely. On average, we have 12-18 minutes to get to the cafeteria, stand in line, find a seat, and eat our entire lunch. There is so much waste of food in the cans and most kids are still hungry throughout the rat of the day in class. When you're hungry, you're not paying attention in class and your work and grades suffer. We need to develop and app that students can use to preorder their cold and hot lunch and prepay for it to reduce the waiting time and the waste of food. Students can preorder their lunch. It can be served immediately and have enough time  to eat and get to the next class. Cafeteria staff can also monitor the type of food students like from what they order with frequency to prevent waste. Students won't need an iPhone to preorder and can use digital kiosks in the hallways to place their order and pay for it through their lunch money account. ","Budget Delegates submitted this to City staff as a high priority proposal for the ballot. Unfortunately, after extensive discussions with the School Department and IT, it was deemed not eligible for PB funding at this time because of the logistical, operational, and staff changes it would require. The School Dept already has an online portal where students can pre-order sandwiches and it is underutilized.",Yusef Chisholm,"CRLS
(42.374354, -71.111592)",42.374354,-71.111592,"Lunch Line,Literacy,app"
1177,PB3(June-December 2016),Y034,Youth Education & Technology,CRLS Freight Farm ,"CRLS Freight Farm will produce significant quantities of local greens and herbs, such as lettuce, kale, and basil for the Culinary Program and Cafeteria during the school year.  
- CRLS Freight Farm will offer sustainable and exciting garden programming. It will enhance the food offered at CRLS, and will provide hands-on experience for students by bringing alive the curriculum presently offered by teachers Stomberg and McGuinness. This proposal is supported by Principal Smith, Assistant Principal Tynes, Chef Rick McKinney, Chef Vin Connolly and other community and city partners.
- STEM/STEAM: the computer controlled hydroponic farm is an ideal hands-on experience where students can learn about hydroponics, botany, math, business and technology.
- Internships and training: the Farm will potentially be a source of internships and jobs for CRLS students.
- Distribution: the Farm will donate produce to the Falcons' Food Pantry, Club 4 cooking, and Food for Free.","Budget Delegates did not move this idea forward, because they felt more research was needed to investigate possible locations at CRLS (feasibility) and to talk to CRLS staff about incorporating this into the curriculum. ",Sandra Fairbank,"CRLS
",,,CRLS Freight Farm
1178,PB3(June-December 2016),Y035,Youth Education & Technology,Project-based learning production centers in CPS elementary schools,"Teachers in CPS elementary schools often engage their students in project-based learning opportunities. These opportunities offer in-depth studying of a specific subject matter ranging from puritans to pilgrims to geology to space to poetry. Project-based learning can often level the playing field for students who come from a wide range of socio-economic backgrounds. It is expensive, however, to print, laminate, bind and produce the outcomes of the project-based learning expeditions. This suggestion is for a portion of the participatory budget funds to be used to purchase printers, laminator machines and binding machines for the elementary schools so that teachers are not reliant about cost prohibitive private printers and the generosity of parents. This is a capital expense with no or minimal ongoing operating expense attributed to the purchase. ","Budget Delegates did not move this idea forward, because they felt that schools already have some of these items and that PB money should not be used to purchase more (the School Department should pay for this equipment). ",Deborah Morse,"Cambridge elementary schools
(42.388636, -71.127385)",42.388636,-71.127385,"learning production centers,elementary schools,CPS"
